ㄱㅏㅊㅜㄱ,사람이 생활에 도움을 얻으려고 집에서 기르는 짐승.
ㄱㅏㄹㄷㅐ,"습지나 물가에서 숲을 이루어 자라는, 줄기가 가늘고 키가 큰 풀."
ㄱㅣㄹㅣㄴ,"동양에서, 성인이 세상에 나면 나타난다고 하는 신비한 상상의 동물."
ㄴㅏㄱㅌㅏ,"사막 지대에서 사람이 타거나 짐을 나르는 데 쓰이는, 등에 큰 혹이 있는 동물."
ㄴㅡㄱㄷㅐ,(비유적으로) 여자에게 음흉한 마음을 가진 남자.
ㄷㅗㄱㅅㅏ,이빨에 독이 있는 뱀.
ㅂㅏㄹㅎㅛ,효모나 미생물에 의해 유기물이 분해되고 변화하는 작용.
ㅅㅏㅅㅡㅁ,눈망울이 크고 털은 갈색이며 다리가 길고 수컷의 머리에는 뿔이 있는 산짐승.
ㅅㅜㅁㅗㄱ,살아 있는 나무.
ㅅㅜㅋㅓㅅ,암수 구별이 있는 동물 중에 새끼를 배지 않는 쪽.
ㅇㅕㅁㅅㅗ,"소보다 작고 뿔이 있으며 몸의 색깔은 갈색, 검은색, 흰색 등인, 가축으로 기르는 동물."
ㅈㅏㅂㅊㅗ,가꾸지 않아도 저절로 나서 자라는 여러 가지 풀.
ㅊㅏㅁㅅㅐ,"주로 사람이 사는 곳 근처에 살며, 몸은 갈색이고 배는 회백색인 작은 새."
ㅊㅓㄹㅅㅐ,(낮잡아 이르는 말로) 상황에 따라 이리저리 옮겨 다니는 사람.
ㅎㅗㅏㅊㅗ,꽃이 피는 풀과 나무. 또는 두고 보면서 즐기는 모든 식물.
