ㄱㅏㄹㅂㅣ,(놀리는 말로) 몸이 매우 말라서 뼈만 남은 것 같은 사람.
ㄱㅏㅁㅈㅏ,"껍질은 연한 갈색이며 속은 연한 노란색인, 땅속에서 자라는 둥근 덩이 모양의 줄기."
ㄱㅗㅏㅈㅏ,"밀가루나 쌀가루 등에 우유, 설탕 등을 넣고 반죽하여 굽거나 튀긴 간식."
ㄱㅜㄱㅅㅜ,"밀, 메밀, 감자 등의 가루를 반죽하여 칼이나 기계, 손으로 가늘고 길게 만든 식품. 또는 그것을 삶아서 만든 음식."
ㄱㅡㄹㅡㅅ,그릇에 담긴 음식을 세는 단위.
ㄱㅣㄹㅡㅁ,얼굴이나 피부에서 나오는 미끈미끈한 물질.
ㄱㅣㅁㅊㅣ,배추나 무 등의 채소를 소금에 절인 후 양념에 버무려 발효시켜서 만든 음식.
ㄴㅐㅁㅂㅣ,"음식을 끓이는 데 쓰는, 솥보다 작고 뚜껑과 손잡이가 있는 그릇."
ㄴㅗㄱㅊㅏ,차나무의 잎을 딴 후 햇볕에 말린 푸른색 잎. 또는 그 잎으로 만든 차.
ㄷㅏㅁㅂㅐ,말린 담뱃잎을 가늘게 썰어 종이에 말고 불을 붙여서 그 연기를 마실 수 있도록 만든 것.
ㄹㅏㅁㅕㄴ,기름에 튀겨 말린 국수와 가루 스프가 들어 있어서 물에 끓이기만 하면 간편하게 먹을 수 있는 음식.
ㅁㅏㄴㄷㅜ,밀가루를 반죽하여 얇게 민 후 그 위에 다진 고기나 야채 등 여러 가지 음식을 넣고 빚은 음식.
ㅁㅐㄱㅈㅜ,주로 발효시킨 보리에 물과 쓴 맛과 탄산을 더하여 만든 거품이 나는 술.
ㅂㅜㅇㅓㅋ,집에서 음식을 만들고 설거지를 하는 등 식사와 관련된 일을 하는 장소.
ㅅㅏㄱㅗㅏ,모양이 둥글고 붉으며 새콤하고 단맛이 나는 과일.
ㅅㅏㅌㅏㅇ,엿이나 설탕을 졸여서 입에 넣기 좋은 크기로 만든 딱딱하고 단 과자.
ㅅㅏㅇㅊㅜ,"잎이 쭈글쭈글하고 넓은, 주로 쌈을 사서 먹는 녹색 채소."
ㅅㅗㄱㅡㅁ,(비유적으로) 꼭 필요한 사람.
ㅅㅜㅂㅏㄱ,둥글고 크며 초록 빛깔에 검푸른 줄무늬가 있으며 속이 붉고 수분이 많은 과일.
ㅅㅣㄱㅅㅏ,"아침, 점심, 저녁과 같이 날마다 일정한 시간에 음식을 먹는 일. 또는 그 음식."
ㅅㅣㄱㅊㅗ,원료를 발효시켜서 만드는 신맛이 나는 액체 조미료.
ㅇㅏㅊㅣㅁ,아침에 먹는 밥.
ㅇㅜㄷㅗㅇ,면발이 굵은 국수. 또는 그것을 삶아서 국물과 함께 요리한 음식.
ㅇㅡㅁㄹㅛ,물이나 물처럼 마시는 모든 액체.
ㅈㅏㅂㅊㅐ,여러 가지 채소와 고기 등을 가늘게 썰어 기름에 볶은 것을 당면과 섞어 만든 음식.
ㅈㅓㄴㅕㄱ,저녁에 먹는 밥.
ㅈㅓㅂㅅㅣ,음식이나 요리를 접시에 담아 그 분량을 세는 단위.
ㅊㅣㅋㅣㄴ,토막을 낸 닭에 밀가루 등을 묻혀 기름에 튀기거나 구운 음식.
ㅋㅗㄹㄹㅏ,맛이 달고 독특한 향이 나는 검은색의 탄산음료.
ㅎㅗㅇㅊㅏ,"차나무의 잎을 발효시켜 말린 것으로, 끓는 물에 넣으면 맑은 붉은색을 띠고 향기가 나는 차."
